IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.9905,0.9994,0.0171,0.0171,0.9994,0.9389,0.7942,0.7463,0.9757,0.7654,0.7812,4.0
0.9955,0.9999,0.0204,0.0204,0.9998,0.9376,0.9682,0.9086,0.9415,0.7807,0.7951,4.0
0.951,0.9992,0.0308,0.0308,0.9989,1.0,0.989,0.9898,1.0,0.88,0.8945,4.0
0.9967,0.9996,0.0103,0.0103,0.9997,0.9389,0.787,0.7395,0.9771,0.7607,0.7731,4.0
0.9956,0.9995,0.0141,0.0141,0.9995,0.9389,0.7871,0.7396,0.9771,0.7646,0.777,4.0
0.7628,0.9992,1.0,1.0,0.9797,0.9593,0.9599,0.9216,0.9649,1.0,1.0,4.0
0.9856,0.9998,0.0236,0.0236,0.9996,0.9376,0.9727,0.9128,0.9407,0.7817,0.7967,4.0
0.9985,1.0,0.0153,0.0154,1.0,0.9377,0.9636,0.9043,0.9425,0.7823,0.7953,4.0
0.9502,0.9993,0.025,0.025,0.9991,0.9993,0.9905,0.9906,0.999,0.8925,0.9072,4.0
0.9948,0.9995,0.0141,0.0141,0.9995,0.9389,0.7906,0.7429,0.9764,0.7614,0.7762,4.0
0.9462,0.9992,0.0353,0.0353,0.9988,0.9992,1.0,1.0,0.9969,0.8726,0.8887,4.0
0.95,0.9993,0.0246,0.0246,0.9991,0.9993,0.9883,0.9885,0.9995,0.9064,0.9212,4.0
1.0,1.0,0.0158,0.0159,1.0,0.9377,0.9637,0.9044,0.9424,0.779,0.7917,4.0
0.7641,0.9993,0.991,0.9911,0.9799,0.9598,0.784,0.7531,0.9995,0.9692,0.9744,4.0
0.7231,0.999,1.0183,1.018,0.9791,1.0144,0.9927,1.0078,1.0136,1.1237,1.1193,4.0
0.4891,0.8155,0.996,0.9939,0.5999,0.9906,0.9947,0.9918,0.8728,0.9752,0.9804,5.0
0.7428,0.9183,0.541,0.6079,0.8396,0.9978,0.8156,0.8192,0.9362,0.6276,0.6347,5.0
0.9998,0.9994,0.3239,0.3961,0.999,0.9815,0.5629,0.5562,1.0,0.4441,0.4557,5.0
0.8992,0.9807,0.3715,0.4458,0.9619,0.9851,0.5802,0.5753,0.9983,0.5236,0.5454,5.0
0.7269,0.9148,0.5585,0.6251,0.8302,0.9957,0.8147,0.8164,0.9344,0.6387,0.6519,5.0
0.4981,0.8202,0.9672,0.9706,0.6126,0.9931,0.9921,0.9918,0.8758,0.9602,0.9566,5.0
1.0,1.0,0.3229,0.3951,1.0,0.9815,0.5629,0.5562,1.0,0.444,0.4556,5.0
