benchmark,nsets,bsize,assoc,IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy
soplex,32,2,32,1.090326,3565034.0,0.001539,5486.0,3559548.0,2833841.0,0.049568,140468.0,2693373.0,3374421930.0,3358184010.0
soplex,64,1,8,0.451587,3458873.0,0.052567,181822.0,3277051.0,2837106.0,0.071396,202557.0,2634549.0,9283595235.0,8355625155.0
soplex,16,1,8,0.251543,3421658.0,0.098914,338449.0,3083209.0,2858691.0,0.082622,236191.0,2622500.0,16531453620.0,14612204910.0
milc,16,1,32,1.153544,3062248.0,0.000636,1948.0,3060300.0,2662375.0,0.167252,445288.0,2217087.0,3861409335.0,3865575105.0
milc,32,2,16,1.211979,3064255.0,0.000403,1234.0,3063021.0,2498873.0,0.162007,404835.0,2094038.0,3370274115.0,3370229430.0
milc,64,4,32,1.215286,3063291.0,0.000191,586.0,3062705.0,2502104.0,0.132313,331060.0,2171044.0,3311111850.0,3310425855.0
milc,64,1,16,1.209468,3062791.0,0.000339,1039.0,3061752.0,2502049.0,0.133515,334061.0,2167988.0,3291640755.0,3305147160.0
milc,32,1,32,1.21557,3064224.0,0.000405,1240.0,3062984.0,2498796.0,0.162774,406740.0,2092056.0,3357739080.0,3363951780.0
milc,16,2,16,1.16126,3062250.0,0.000612,1875.0,3060375.0,2665010.0,0.166256,443075.0,2221935.0,3784704300.0,3784672635.0
milc,64,2,32,1.217043,3063252.0,0.000204,624.0,3062628.0,2502097.0,0.132304,331037.0,2171060.0,3271555530.0,3271176870.0
milc,64,2,16,1.215757,3062944.0,0.00028,857.0,3062087.0,2502085.0,0.132327,331093.0,2170992.0,3288094875.0,3287468955.0
milc,32,1,8,0.931435,3062209.0,0.019879,60875.0,3001334.0,2556547.0,0.161367,412542.0,2144005.0,4300668345.0,4230983295.0
milc,32,1,16,1.203494,3064026.0,0.000469,1438.0,3062588.0,2498729.0,0.163518,408588.0,2090141.0,3361960050.0,3370908300.0
milc,32,4,32,1.219305,3064599.0,0.000305,935.0,3063664.0,2498902.0,0.161999,404819.0,2094083.0,3364438665.0,3364977135.0
milc,16,2,32,1.160283,3062545.0,0.000497,1523.0,3061022.0,2663206.0,0.166508,443444.0,2219762.0,3838395300.0,3838500045.0
milc,64,1,32,1.21478,3063018.0,0.000281,860.0,3062158.0,2502084.0,0.132905,332540.0,2169544.0,3274476795.0,3284134095.0
milc,16,1,16,1.155402,3062086.0,0.000701,2147.0,3059939.0,2662765.0,0.168112,447644.0,2215121.0,3752626020.0,3759904080.0
milc,16,4,32,1.160025,3062555.0,0.00049,1500.0,3061055.0,2663239.0,0.166147,442490.0,2220749.0,3897964230.0,3897616755.0
milc,32,2,32,1.221123,3064551.0,0.000315,966.0,3063585.0,2498865.0,0.162006,404831.0,2094034.0,3350142750.0,3349792110.0
milc,64,1,8,0.93303,3062568.0,0.0197,60333.0,3002235.0,2557841.0,0.131795,337110.0,2220731.0,4168264350.0,4122511500.0
milc,16,1,8,0.883009,3061577.0,0.020242,61972.0,2999605.0,2703266.0,0.166891,451152.0,2252114.0,4832685555.0,4735674660.0
lbm,16,1,32,0.086862,2825.0,0.347257,981.0,1844.0,2734.0,0.264813,724.0,2010.0,30432675.0,27472065.0
lbm,32,2,16,0.131921,3181.0,0.18862,600.0,2581.0,2754.0,0.217139,598.0,2156.0,19584525.0,17785590.0
